1_id	1_span	1_anno_const:pos-const	1_anno_default_ns:lemma-deprel	1_anno_default_ns:morph	1_anno_default_ns:norm	1_anno_default_ns:pos-deprel
86969407		NE	Majoran	nom|sg|masc	Majoran	NN
86969419		$.	.	'NULL'	.	$.
86969430		NN	¶	'NULL'	¶	KON
86969442		APPR	von	'NULL'	Von	APPR
86969451		ART	der	dat|sg|masc	dem	ART
86969459		NN	Name	dat|sg|masc	Namen	NN
86969468		$.	.	'NULL'	.	$.
86969481		KOUS	wiewohl	'NULL'	Wiewohl	KOUS
86969496		ADV	aus	'NULL'	aus	APPR
86969508		ART	der	dat|sg|masc	dem	ART
86969518		NN	Galen	dat|sg|masc	Galen	NE
86969527		$,	,	'NULL'	/	$,
86969536		KON	und	'NULL'	und	KON
86969546		ADJA	Paulus	dat|sg|masc	Paulus	NE
86969556		NN	Aegineta	dat|sg|massc	Aegineta	NE
86969564		VVFIN	scheinen	sg|3|pres|ind	scheint	VVFIN
86969572		$,	,	'NULL'	/	$,
86969580		KOKOM	als	'NULL'	als	PTKS
86969592		KOUS	ob	'NULL'	ob	KOUS
86969603		NE	Samsuchus	nom|sg|masc	Samsuchus	FM
86969614		KON	und	'NULL'	und	KON
86969625		NE	Amaracus	nom|sg|masc	Amaracus	FM
86969634	 	NE	zweierlei	'NULL'	zweierlei	PIAT
86969647		NE	Kräuter	acc|pl|neut	Kräuter	NN
86969655		VVINF	bedeuten	pl|3|pres|ind	bedeuten	VVFIN
86969663		$,	,	'NULL'	/	$,
86969671		ADV	so	'NULL'	so	ADV
86969679		VAFIN	werden	pl|3|pres|ind	werden	VAFIN
86969687		ADV	doch	'NULL'	doch	ADV
86969697		PIAT	beide	nom|pl|masc	beide	PIAT
86969706		NN	Name	nom|pl|masc	Namen	NN
86969715		APPRART	von	dat|sg|masc	vom	APPRART
86969726		NN	Dioscoride	dat|sg|masc	Dioscorides	NE
86969735		KON	und	'NULL'	und	KON
86969745	 	NN	Columella	dat|sg|masc	Columella	NE
86969758		PTKZU	zu	'NULL'	zu	ADV
86969767		VVINF	geben	'NULL'	geben	VVINF
86969775		ART	der	dat|sg|fem	der	ART
86969786		NN	Majoran	dat|sg|fem	Majoran	NN
86969794		$,	,	'NULL'	/	$,
86969803		PRELS	welcher	nom|sg|fem	welche	PRELS
86969812		XY	lateinisch	'NULL'	Lateinisch	ADJD
86969821		KON	und	'NULL'	und	KON
86969829		NN	griechisch	'NULL'	Griechisch	ADJD
86969837		ADV	heute	'NULL'	heute	ADV
86969846		ADV	also	'NULL'	also	ADV
86969854	 	VVPP	nennen	'NULL'	genannt	VVPP
86969867		VAFIN	werden	sg|3|pres|ind	wird	VAFIN
86969875		$,	,	'NULL'	/	$,
86969883		APPR	zu	'NULL'	zu	APPR
86969892		ADJA	Deutsch	dat|sg|neut	Deutsch	NN
86969902		NN	Majoran	nom|sg|masc	Majoran	NN
86969911		$.	.	'NULL'	.	$.
86969922		PPER	ich	nom|sg|*|1	Ich	PPER
86969933		VVFIN	lesen	sg|1|pres|ind	lese	VVFIN
86969941		APPR	in	'NULL'	in	APPR
86969950		ART	der	dat|pl|fem	den	ART
86969959		NN	Fabel	dat|pl|fem	Fabeln	NN
86969967		$,	,	'NULL'	/	$,
86969978		KOUS	daß	'NULL'	dass	KOUS
86969987		NN	Samsuchus	nom|sg|masc	Samsuchus	NE
86969996		VAFIN	sein	sg|3|pres|subj	sei	VAFIN
86970004		ART	ein	nom|sg|masc	ein	ART
86970014		ADJA	fürstlich	nom|sg|masc|pos	fürstlicher	ADJA
86970023		KON	oder	'NULL'	oder	KON
86970031		ADJA	königlich	nom|sg|masc|pos	königlicher	ADJA
86970039		NN	Knabe	nom|sg|masc	Knabe	NN
86970047		VAPP	sein	'NULL'	gewesen	VAPP
86970056		VMFIN	,	'NULL'	/	$,
86970065		ADV	welcher	nom|sg|masc	welcher	PRELS
86970077		$,	,	'NULL'	/	$,
86970088		KOUS	als	'NULL'	als	KOUS
86970097		PPER	er	nom|sg|masc|3	er	PPER
86970105		ART	der	acc|sg|neut	das	ART
86970117		ADJA	edel	acc|sg|neut|pos	edle	ADJA
86970126		NN	Unguent	acc|sg|neut	Unguent	NN
86970134		$,	,	'NULL'	/	$,
86970143		KON	oder	'NULL'	oder	KON
86970152		NN	Salbe	nom|sg|masc	Salbe	NE
86970160		APPR	von	'NULL'	von	APPR
86970169		PDAT	dieser	dat|sg|masc	diesem	PDAT
86970177		NN	Kraut	dat|sg|neut	Kraut	NN
86970186		VVINF	antragen	'NULL'	antragen	VVINF
86970194		VMFIN	sollen	sg|3|past|ind	sollte	VMFIN
86970202		$,	,	'NULL'	/	$,
86970210		VVFIN	fallen	sg|3|past|ind	fiel	VVFIN
86970218		PPER	er	nom|sg|masc|3	er	PPER
86970226		$,	,	'NULL'	/	$,
86970234		KON	und	'NULL'	und	KON
86970242		VVFIN	zerbrechen	sg|3|past|ind	zerbrach	VVFIN
86970250		PRELS	der	nom|sg|fem	die	ART
86970259		NN	Büchse	nom|sg|fem	Büchse	NN
86970268		$.	.	'NULL'	.	$.
86970276		VAFIN	sein	sg|3|pres|subj	sei	VAFIN
86970285		ADV	also	'NULL'	also	ADV
86970296		APPR	von	'NULL'	von	APPR
86970306		ART	der	dat|sg|neut	dem	ART
86970314		ADJA	stark	dat|sg|masc|pos	starken	ADJA
86970322		ADJA	lieblich	dat|sg|masc|pos	lieblichen	ADJA
86970330		NN	Geruch	dat|sg|masc	Geruch	NN
86970338		VVPP	verwandeln	'NULL'	verwandelt	VVPP
86970346		VAPP	werden	'NULL'	worden	VAPP
86970354		APPR	auf	'NULL'	auf	APPR
86970363		ART	der	dat|sg|fem	der	ART
86970372		NN	Stätte	dat|sg|fem	Stätte	NN
86970380		APPR	in	'NULL'	in	APPR
86970389		PDAT	dieser	acc|sg|neut	dieses	PDAT
86970398		NN	Kraut	acc|sg|neut	Kraut	NN
86970407		VVFIN	,	'NULL'	/	$,
86970417		KON	und	'NULL'	und	KON
86970429		PROAV	daher	'NULL'	daher	PROAV
86970437		VAFIN	haben	sg|3|pres|subj	habe	VAFIN
86970445		PPER	es	nom|sg|neut|3	es	PPER
86970453		ADV	noch	'NULL'	noch	ADV
86970461	 	ADV	heutzutage	'NULL'	heutzutage	ADV
86970474		PPOSAT	sein	acc|sg|masc	seinen	PPOSAT
86970483		NN	Name	acc|sg|masc	Namen	NN
86970492		$.	.	'NULL'	.	$.
86970501		ART	der	nom|pl|masc	Die	ART
86970514		NE	Römer	nom|pl|masc	Römer	NN
86970522		VVFIN	nennen	pl|3|pres|ind	nennen	VVFIN
86970526		PPER	es	acc|sg|neut|3	es	PPER
86970536		NN	Persa	nom|sg|fem	Persa	FM
86970545		$.	.	'NULL'	.	$.
86970554		ART	ein	nom|sg|neut	Ein	ART
86970569		ADJA	köstlich	nom|sg|neut|pos	köstliches	ADJA
86970582		NN	Edelkraut	nom|sg|neut	Edelkraut	NN
86970590		$,	,	'NULL'	/	$,
86970598		ADV	etwa	'NULL'	etwa	ADV
86970606		ADV	auch	'NULL'	auch	ADV
86970615		APPR	bei	'NULL'	bei	APPR
86970623		ART	der	dat|pl|neut	den	ART
86970631		NN	Griechen	dat|pl|neut	Griechen	NN
86970639		$,	,	'NULL'	/	$,
86970647		KON	und	'NULL'	und	KON
86970655		ADV	auch	'NULL'	auch	ADV
86970665		ART	der	dat|pl|masc	den	ART
86970673	 	NN	Römer	dat|pl|masc	Römern	NN
86970686		APPR	in	'NULL'	in	APPR
86970697		ADJA	groß	dat|pl|fem|comp	größeren	ADJA
86970705		NN	Ehre	dat|pl|fem	Ehren	NN
86970713		VVPP	halten	'NULL'	gehalten	VVPP
86970722		KON	und	'NULL'	und	KON
86970730		VVPP	brauchen	'NULL'	gebraucht	VVPP
86970738		VAINF	werden	'NULL'	worden	VAPP
86970746		APPR	in	'NULL'	in	APPR
86970755		ART	der	acc|pl|fem	die	ART
86970767		ADJA	wohlriechend	acc|pl|fem|pos	wohlriechenden	ADJA
86970778	 	NN	Salbe	acc|pl|fem	Salben	NN
86970791		$.	.	'NULL'	.	$.
86970800		NN	werden	sg|3|pres|ind	Wird	VAFIN
86970809		APPR	zu	'NULL'	zu	APPR
86970818		PDAT	dieser	dat|sg|fem	dieser	PDAT
86970826		NN	Zeit	dat|sg|fem	Zeit	NN
86970834		$,	,	'NULL'	/	$,
86970842		ADV	gleich	'NULL'	gleich	ADJD
86970852		KOKOM	wie	'NULL'	wie	KOKOM
86970861		ART	der	nom|sg|masc	der	ART
86970870		NN	Rosmarin	nom|sg|masc	Rosmarin	NN
86970878		$,	,	'NULL'	/	$,
86970886		APPR	aus	'NULL'	aus	APPR
86970895		NN	Unwissenheit	dat|sg|fem	Unwissenheit	NN
86970905		APPR	für	'NULL'	für	APPR
86970914		ART	ein	acc|sg|neut	ein	ART
86970929	 	NN	Schappelkraut	acc|sg|neut	Schappelkraut	NN
86970943		$,	,	'NULL'	/	$,
86970951		KON	und	'NULL'	und	KON
86970959		ART	ein	acc|sg|fem	eine	ART
86970968	 	NN	Gartenzierde	acc|sg|fem	Gartenzierde	NN
86970981		VVPP	halten	'NULL'	gehalten	VVPP
86970990		$.	.	'NULL'	.	$.
86971000		KON	denn	'NULL'	Denn	KON
86971013		ADV	so	'NULL'	so	ADV
86971021		ADJD	närrisch	pos	närrisch	ADJD
86971029		VAFIN	sein	pl|1|pres|ind	sind	VAFIN
86971039		PPER	wir	nom|pl|*|1	wir	PPER
86971047		NN	deutsche	nom|pl|*	Deutschen	NN
86971056		$,	,	'NULL'	/	$,
86971068		KOUS	dass	'NULL'	dass	KOUS
86971079		PPER	wir	nom|pl|*|1	wir	PPER
86971087		ADJA	kein	gen|sg|neut	keines	PIAT
86971096		NN	Dinges	ge|sg|neut	Dinges	NN
86971104		VVFIN	achten	'NULL'	achten	VVFIN
86971113		ADJD	,	'NULL'	/	$,
86971122		KON	und	'NULL'	und	KON
86971136		KOUS	wiewohl	'NULL'	wiewohl	KOUS
86971149		PPER	wir	nom|pl|*|1	wir	PPER
86971157		ADV	auch	'NULL'	auch	ADV
86971166		APPR	in	'NULL'	in	APPR
86971178		PPOSAT	unser	dat|pl|fem	unseren	PPOSAT
86971186		NN	Lande	dat|pl|fem	Landen	NN
86971194		ADJD	köstlich	acc|pl|*|pos	köstliche	ADJA
86971206	 	ADJA	wohlriechend	nom|sg|masc|pos	wohlriechende	ADJA
86971219		NN	Kräuter	acc|pl|neut	Kräuter	NN
86971227		KON	und	'NULL'	und	KON
86971235		NN	Blume	nom|sg|neut	Blumen	NN
86971243		VVINF	haben	pl|3|pres|ind	haben	VAFIN
86971251		VVFIN	wachsen	'NULL'	wachsen	VVPP
86971259		$,	,	'NULL'	/	$,
86971267		ADV	dennoch	'NULL'	dennoch	ADV
86971279		ADV	so	'NULL'	so	KOUS
86971289		PPER	wir	nom|pl|*|1	wir	PPER
86971300		ADJD	siech	'NULL'	siech	ADJD
86971308		VAFIN	werden	'NULL'	werden	VAINF
86971316		$,	,	'NULL'	/	$,
86971324		ADV	so	'NULL'	so	ADV
86971332		VMFIN	müssen	pl|1|pres|ind	müssen	VMFIN
86971343		PPER	wir	nom|pl|*|1	wir	PPER
86971351		APPR	in	'NULL'	in	APPR
86971360		ART	der	acc|sg|fem	die	ART
86971368		NN	Apotheke	acc|sg|fem	Apotheke	NN
86971376		APPR	aus	'NULL'	aus	APPR
86971386		NE	Indien	dat|sg|neut	Indien	NE
86971395		KON	und	'NULL'	und	KON
86971403		ADJA	Arabien	dat|sg|neut	Arabien	NE
86971412		NN	Stärkung	acc|pl|fem	Stärkungen	NN
86971420		VVINF	suchen	'NULL'	suchen	VVINF
86971429		NN	,	'NULL'	/	$,
86971440		PPER	wir	nom|pl|*|1	wir	PPER
86971452		VAFIN	haben	pl|1|pres|ind	haben	VVFIN
86971460		ADV	sonst	'NULL'	sonst	ADV
86971471		PIAT	kein	acc|sg|masc	keinen	PIAT
86971480		NN	Glaube	acc|sg|masc	Glauben	NN
86971488		PROAV	daran	'NULL'	daran	PROAV
86971498		$.	.	'NULL'	.	$.
86971510		KOUS	wenn	'NULL'	Wenn	KOUS
86971524		ADV	nun	'NULL'	nun	ADV
86971532		ADV	gar	'NULL'	gar	ADV
